Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth
19557289,1711929611,2024-04-01 00:00:11,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52
19557296,1711929695,2024-04-01 00:01:35,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52
19557298,1711929719,2024-04-01 00:01:59,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52
19557301,1711929755,2024-04-01 00:02:35,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52
19557302,1711929767,2024-04-01 00:02:47,0.195780553916631,0,603.66673415044,0.0025968435,8.00706711358238,3505.52
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0004597515275135,1.41759075445734,3505.52
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0019989643952269,6.16357592217013,3505.52
19557302,1711929767,2024-04-01 00:02:47,1.0,0,3083.38454496098,0.0520350281587617,160.444001621335,3505.52
19557304,1711929791,2024-04-01 00:03:11,0.0,0,0.0,0.0022809181564881,7.0329477920363,3505.52
19557309,1711929851,2024-04-01 00:04:11,0.0,0,0.0,0.0020451833461076,6.3060867209998,3505.52
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.002046161396673,6.30910242699747,3505.52
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.0021939425364476,6.76476850941514,3505.52
19557312,1711929887,2024-04-01 00:04:47,0.254,0,783.179674420089,0.0021223557024766,6.54403877192621,3505.52
19557314,1711929911,2024-04-01 00:05:11,0.0,0,0.0,0.0038617384737261,11.9072247265684,3505.52
19557315,1711929923,2024-04-01 00:05:23,0.0,0,0.0,0.0058734048974202,18.1099658870037,3505.52
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004377196550477,1.3496580194,3505.52
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004374980809374,1.3489748212125,3505.52
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.000597716259061,1.84298907546064,3505.52
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0020585416992861,6.34727566073657,3505.52
19557320,1711929983,2024-04-01 00:06:23,0.0,0,0.0,0.0020363275079134,6.27878076637936,3505.52
19557320,1711929983,2024-04-01 00:06:23,3.0,0,9250.15363488294,0.0008341975627975,2.57215187257412,3505.52
19557321,1711929995,2024-04-01 00:06:35,2.855,0,8803.0628758636,0.0022431195287532,6.91640008745783,3505.52
19557321,1711929995,2024-04-01 00:06:35,0.0,0,0.0,0.0027026711063096,8.33337431930765,3505.52
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52
19557324,1711930031,2024-04-01 00:07:11,0.0,0,0.0,0.0024568858221531,7.5755237727608,3505.52
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0005058503408319,1.55973112298447,3505.52
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0020846377033337,6.4277396763021,3505.52
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0031472267858047,9.70411043083748,3505.52
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0061040244580438,18.8210546759963,3505.52
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0029572355101244,9.11829426772763,3505.52
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0019282478570653,5.9455296413294,3505.52
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0018125273135813,5.58871870601641,3505.52
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0038920408468824,12.000658595634,3505.52
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.002762461,8.51772955345745,3505.52
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0036959716550492,11.3961018797926,3505.52
19557332,1711930127,2024-04-01 00:08:47,0.0,0,0.0,0.0020001522623159,6.16723857319375,3505.52
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0037934227728565,11.6965811503288,3505.52
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0028915236498662,8.91567933338671,3505.52
